"","total_cases","new_cases","total_deaths","new_deaths","reproduction_rate","people_vaccinated","people_fully_vaccinated","stringency_index","population","public_events"
"Albania",147369,982,2501,3,1.23,836613,648637,38.89,2872934,1
"Angola",47781,237,1227,10,1.12,1165755,920570,63.89,33933611,0
"Argentina",5190948,5328,112005,193,0.74,28005793,14786884,75.93,45605823,0
"Australia",56560,1467,1019,7,1.34,12480413,7512554,71.76,25788217,0
"Austria",690153,1848,10775,3,1.17,5531963,5242707,58.8,9043072,1
"Azerbaijan",428736,3845,5677,41,1.03,4179684,2731755,58.33,10223344,0
"Bahrain",272635,95,1388,0,0.96,1147647,1089404,39.35,1748295,0
"Barbados",5072,40,51,1,1.4,112239,94803,70.37,287708,0
"Belgium",1187506,2842,25382,2,1.07,8457512,8183744,43.06,11632334,1
"Bolivia",491340,461,18473,21,0.89,4035898,2796280,44.91,11832936,1
"Botswana",156927,0,2261,0,0.98,320308,207695,69.44,2397240,0
"Brazil",20804215,27345,581150,737,0.94,136458383,63515389,54.17,213993441,1
"Cambodia",93510,455,1916,13,0.98,10894795,8594733,73.15,16946446,0
"Canada",1511046,3954,27020,31,1.23,28004278,25571895,69.91,38067913,0
"Chile",1639123,448,36945,8,0.83,14431904,13703107,63.43,19212362,0
"Croatia",374803,805,8338,4,1.29,1730522,1619592,33.8,4081657,1
"Cuba",659464,6609,5377,74,0.9,5672635,3995569,71.76,11317498,0
"Cyprus",115597,287,512,2,0.81,575773,522561,43.52,896005,1
"Czechia",1679476,287,30404,0,1.17,5966697,5758396,32.41,10724553,1
"Denmark",347862,834,2586,0,0.83,4400688,4210047,29.63,5813302,1
"Djibouti",11757,7,157,0,1.43,36344,23797,54.63,1002197,0
"Dominican Republic",350468,295,4008,0,1,5827045,4671784,51.39,10953714,0
"Egypt",288732,291,16743,7,1.36,6182511,3208954,43.52,104258327,0
"Estonia",142363,407,1293,1,1.11,728151,638307,28.7,1325188,1
"Finland",127861,679,1030,1,0.95,4030265,2835244,36.57,5548361,1
"France",6868151,33129,115031,105,0.84,48829370,40648569,66.67,67564251,0
"Georgia",553697,3886,7482,74,0.81,813601,421785,50.93,3979773,0
"Germany",3979839,14158,92262,33,1.21,54599774,50700203,60.19,83900471,0
"Greece",590832,2868,13743,52,0.94,6079739,5748030,80.09,10370747,0
"Guatemala",475548,5271,12007,81,1,3389993,1309510,66.2,18249868,0
"Hungary",812531,194,30059,1,1.57,5781121,5510678,25,9634162,1
"Iceland",10856,67,33,0,0.79,279509,263778,32.41,343360,1
"India",32857937,47092,439529,509,1.02,509668131,151908785,70.83,1393409033,0
"Indonesia",4100138,10337,133676,653,0.61,64229890,36454433,71.76,276361788,0
"Ireland",354236,1789,5112,20,0.97,3708735,3419487,48.15,4982904,1
"Israel",1082981,16629,7086,43,1.15,6006195,5505382,56.48,9291000,0
"Italy",4546487,6496,129290,69,0.94,42834952,36934320,60.65,60367471,0
"Jamaica",68482,351,1549,31,1.11,409492,145171,74.07,2973462,0
"Japan",1514400,20028,16136,71,0.85,72973757,59060074,52.31,126050796,1
